"priority_rank","priority_tier","company_or_person","region","country","city","type_or_size","specialty","why_promising","website","contact_email","instagram","contact_confidence","research_source_url","email_subject","email_body"
"11","A+","ZUMO","Europe","Spain","Barcelona","Creative visualization studio","3D architectural imagery, animation and visual storytelling","your studio has published 3D Artist openings mentioning 3ds Max, Corona/V-Ray, Photoshop and Rhino","https://zumo.digital/","job@zumo.digital","","High","https://zumo.digital/","Architectural visualization collaboration with ZUMO","Hi ZUMO team,

I’m [name], a 3D artist focused on architectural visualization, especially exterior/interior imagery and 3ds Max-based workflows. I’m reaching out because your studio has published 3D Artist openings mentioning 3ds Max, Corona/V-Ray, Photoshop and Rhino.

If you ever need extra capacity, I can take on a self-contained part of a 3d architectural imagery, animation and visual storytelling project and work to your references, naming conventions and feedback process.

If it is useful, I’d be happy to complete a small, clearly scoped test assignment; I’m also open to an unpaid test if that is your normal evaluation process. My portfolio is here: [portfolio]. If my work looks relevant, please send me a task or tell me what you would want to test first.

Best regards,
[name]"
"12","A+","Parallel","Europe","Netherlands / UK","Amsterdam / London","Visualization studio","Architectural visualization, animation and Unreal Engine work","you maintain a dedicated jobs contact and have advertised 3D/Unreal positions and internships, suggesting an active pipeline for outside talent","https://parallel.nl/","jobs@parallel.nl","","High","https://parallel.nl/","3ds Max / archviz production support for Parallel","Hi Parallel team,

My name is [name]. I work in architectural visualization with a focus on exterior and interior scenes and 3ds Max production. I wanted to contact you specifically because you maintain a dedicated jobs contact and have advertised 3D/Unreal positions and internships, suggesting an active pipeline for outside talent.

My goal is to become the kind of external artist you can delegate a specific scene or image to when your internal team is busy, while keeping your creative direction and workflow intact.

If it is useful, I’d be happy to complete a small, clearly scoped test assignment; I’m also open to an unpaid test if that is your normal evaluation process. My portfolio is here: [portfolio]. If my work looks relevant, please send me a task or tell me what you would want to test first.

Thanks for taking a look,
[name]"
"13","A+","Visense Studio","Europe","UK","London","Architectural visualization studio","High-end stills and architectural animation","you recently sought Senior 3D Artists and Senior 3D Animation Artists and asked applicants to send portfolios","https://visensestudio.com/","info@visensestudio.com","","High","https://visensestudio.com/","3D visualization support for Visense Studio","Hi Visense Studio team,

I’m [name], and I’m looking to contribute to strong architectural visualization teams on a project or trial basis. Visense Studio stood out to me because you recently sought Senior 3D Artists and Senior 3D Animation Artists and asked applicants to send portfolios.

I’d be glad to help with a clearly defined part of your high-end stills and architectural animation pipeline—modeling, scene setup, materials, lighting, camera work, rendering or revisions—depending on what is most useful to you.

If it is useful, I’d be happy to complete a small, clearly scoped test assignment; I’m also open to an unpaid test if that is your normal evaluation process. My portfolio is here: [portfolio]. If my work looks relevant, please send me a task or tell me what you would want to test first.

Thanks — I’d be glad to hear what would be most useful to test.
[name]"
"14","A+","Nordblooms","United States","USA","New York","Boutique creative/visualization studio","Luxury architectural visualization and 3D asset creation","your 3D asset role specifically references 3ds Max with V-Ray or Corona materials, so my 3ds Max-based archviz work is directly relevant","https://nordblooms.com/","careers@nordblooms.com","","High","https://nordblooms.com/careers","Portfolio + a small trial task for Nordblooms","Hi Nordblooms team,

I’m [name], a 3D visualization artist working with architectural exteriors, interiors and 3ds Max-based scenes. Rather than sending a generic application, I’m writing because your 3D asset role specifically references 3ds Max with V-Ray or Corona materials, so my 3ds Max-based archviz work is directly relevant.

I’m not asking you to commit to a full role. I’d prefer to prove fit through a small real production task related to luxury architectural visualization and 3d asset creation, with clear inputs, deadline and review criteria.

If it is useful, I’d be happy to complete a small, clearly scoped test assignment; I’m also open to an unpaid test if that is your normal evaluation process. My portfolio is here: [portfolio]. If my work looks relevant, please send me a task or tell me what you would want to test first.

Thank you for your time,
[name]"
"15","A+","Gabriel Saunders","Oceania","Australia","Melbourne","Founder-led visualization studio","Architectural visualization, CGI and design communication","your studio has recently invited Architectural Visualiser applications and asks candidates to show a portfolio and explain their contribution","https://gabrielsaunders.com.au/","jobs@gabrielsaunders.com.au","","High","https://gabrielsaunders.com.au/","Freelance archviz support — Gabriel Saunders","Hi Gabriel Saunders team,

My name is [name], and I’m building relationships with studios and independent artists whose work I could support when deadlines or project volume increase. I chose to write to Gabriel Saunders because your studio has recently invited Architectural Visualiser applications and asks candidates to show a portfolio and explain their contribution.

I can start with a narrow assignment—such as preparing an exterior/interior scene, matching a reference, refining materials/lighting, or taking a render through revisions—so you can judge quality and reliability directly.

If it is useful, I’d be happy to complete a small, clearly scoped test assignment; I’m also open to an unpaid test if that is your normal evaluation process. My portfolio is here: [portfolio]. If my work looks relevant, please send me a task or tell me what you would want to test first.

Best,
[name]"
"16","A+","200Pixels","Oceania","Australia","Melbourne","Small studio (2–10)","3D visualization and real-estate marketing CGI","your careers information says you are always looking for talented 3D artists, designers and graduates and explicitly asks for a portfolio and résumé","https://200pixels.com.au/","info@200pixels.com.au","","High","https://200pixels.com.au/contact/","Could I help with overflow 3D work at 200Pixels?","Hi 200Pixels team,

I’m [name], a 3D artist focused on architectural visualization, especially exterior/interior imagery and 3ds Max-based workflows. I’m reaching out because your careers information says you are always looking for talented 3D artists, designers and graduates and explicitly asks for a portfolio and résumé.

If you ever need extra capacity, I can take on a self-contained part of a 3d visualization and real-estate marketing cgi project and work to your references, naming conventions and feedback process.

If it is useful, I’d be happy to complete a small, clearly scoped test assignment; I’m also open to an unpaid test if that is your normal evaluation process. My portfolio is here: [portfolio]. If my work looks relevant, please send me a task or tell me what you would want to test first.

Best regards,
[name]"
"17","A+","4pixos","Asia","Vietnam / Singapore","Ho Chi Minh City","Studio (10–20)","Exterior, interior and aerial architectural rendering and animation","you maintain a dedicated jobs address and a large architectural CGI pipeline across stills and animations","https://www.4pixosglobal.com/","jobs@4pixos.com","","High","https://www.4pixosglobal.com/","Architectural visualization collaboration with 4pixos","Hi 4pixos team,

My name is [name]. I work in architectural visualization with a focus on exterior and interior scenes and 3ds Max production. I wanted to contact you specifically because you maintain a dedicated jobs address and a large architectural CGI pipeline across stills and animations.

My goal is to become the kind of external artist you can delegate a specific scene or image to when your internal team is busy, while keeping your creative direction and workflow intact.

If it is useful, I’d be happy to complete a small, clearly scoped test assignment; I’m also open to an unpaid test if that is your normal evaluation process. My portfolio is here: [portfolio]. If my work looks relevant, please send me a task or tell me what you would want to test first.

Thanks for taking a look,
[name]"
"18","A+","AMO 3D Visual","Europe","Spain","Zaragoza","Small studio (1–10)","Photoreal architectural CGI, animation and 360 VR","you have advertised remote 3D Artist work requiring 3ds Max, V-Ray and Photoshop and ask candidates to send a CV and portfolio","https://amo3dvisual.com/","jobs@amo3dvisual.com","@amo3dvisual","High","https://es.linkedin.com/company/amo3dvisual","3ds Max / archviz production support for AMO 3D Visual","Hi AMO 3D Visual team,

I’m [name], and I’m looking to contribute to strong architectural visualization teams on a project or trial basis. AMO 3D Visual stood out to me because you have advertised remote 3D Artist work requiring 3ds Max, V-Ray and Photoshop and ask candidates to send a CV and portfolio.

I’d be glad to help with a clearly defined part of your photoreal architectural cgi, animation and 360 vr pipeline—modeling, scene setup, materials, lighting, camera work, rendering or revisions—depending on what is most useful to you.

If it is useful, I’d be happy to complete a small, clearly scoped test assignment; I’m also open to an unpaid test if that is your normal evaluation process. My portfolio is here: [portfolio]. If my work looks relevant, please send me a task or tell me what you would want to test first.

Thanks — I’d be glad to hear what would be most useful to test.
[name]"
"19","A+","Atelier Monolit","Europe","Romania","Iași","Small studio (1–10)","Architectural visualization focused on storytelling, materials and light","you have previously invited artists to submit portfolios and specifically referenced 3ds Max with Corona/V-Ray in your hiring criteria","https://ateliermonolit.com/","office@ateliermonolit.com","","High","https://www.linkedin.com/posts/ioan-ralea-toma-46207ba7_we-are-hiring-send-your-portfolio-and-your-activity-6666239731728175105-hBUQ","3D visualization support for Atelier Monolit","Hi Atelier Monolit team,

I’m [name], a 3D visualization artist working with architectural exteriors, interiors and 3ds Max-based scenes. Rather than sending a generic application, I’m writing because you have previously invited artists to submit portfolios and specifically referenced 3ds Max with Corona/V-Ray in your hiring criteria.

I’m not asking you to commit to a full role. I’d prefer to prove fit through a small real production task related to architectural visualization focused on storytelling, materials and light, with clear inputs, deadline and review criteria.

If it is useful, I’d be happy to complete a small, clearly scoped test assignment; I’m also open to an unpaid test if that is your normal evaluation process. My portfolio is here: [portfolio]. If my work looks relevant, please send me a task or tell me what you would want to test first.

Thank you for your time,
[name]"
"20","A+","Mangoshake","Europe","Czechia","Brno","Creative CGI studio","CGI, visualization, film, design and motion","your site says you are always on the lookout for fresh creatives and provides a dedicated jobs email","https://mangoshake.cz/","jobs@mangoshake.cz","","High","https://mangoshake.cz/about/","Portfolio + a small trial task for Mangoshake","Hi Mangoshake team,

My name is [name], and I’m building relationships with studios and independent artists whose work I could support when deadlines or project volume increase. I chose to write to Mangoshake because your site says you are always on the lookout for fresh creatives and provides a dedicated jobs email.

I can start with a narrow assignment—such as preparing an exterior/interior scene, matching a reference, refining materials/lighting, or taking a render through revisions—so you can judge quality and reliability directly.

If it is useful, I’d be happy to complete a small, clearly scoped test assignment; I’m also open to an unpaid test if that is your normal evaluation process. My portfolio is here: [portfolio]. If my work looks relevant, please send me a task or tell me what you would want to test first.

Best,
[name]"
"21","A+","Marygold Studio","Europe","UK / UAE","London / Dubai","Visualization agency","Real-estate visualization, luxury archviz, CGI and animation","your site has an active job application flow, a dedicated jobs address, and a team structure that includes junior through mid-level 3D artists","https://marygold-studio.com/","jobs@marygold-studio.com","","High","https://marygold-studio.com/about","Freelance archviz support — Marygold Studio","Hi Marygold Studio team,

I’m [name], a 3D artist focused on architectural visualization, especially exterior/interior imagery and 3ds Max-based workflows. I’m reaching out because your site has an active job application flow, a dedicated jobs address, and a team structure that includes junior through mid-level 3D artists.

If you ever need extra capacity, I can take on a self-contained part of a real-estate visualization, luxury archviz, cgi and animation project and work to your references, naming conventions and feedback process.

If it is useful, I’d be happy to complete a small, clearly scoped test assignment; I’m also open to an unpaid test if that is your normal evaluation process. My portfolio is here: [portfolio]. If my work looks relevant, please send me a task or tell me what you would want to test first.

Best regards,
[name]"
"22","A+","7CGI","United States","USA / Bangladesh","Beaverton / Dhaka","Visualization company (20+ artists)","Architectural and product rendering, modeling, animation, 360/VR","your careers page says you are always looking for people passionate about 3D visualization and currently lists Architectural Visualizer and 3D Animation Artist tracks","https://7cgi.com/","abdullah@7cgi.com","","High","https://7cgi.com/career/","Could I help with overflow 3D work at 7CGI?","Hi Abdullah and the 7CGI team,

My name is [name]. I work in architectural visualization with a focus on exterior and interior scenes and 3ds Max production. I wanted to contact you specifically because your careers page says you are always looking for people passionate about 3D visualization and currently lists Architectural Visualizer and 3D Animation Artist tracks.

My goal is to become the kind of external artist you can delegate a specific scene or image to when your internal team is busy, while keeping your creative direction and workflow intact.

If it is useful, I’d be happy to complete a small, clearly scoped test assignment; I’m also open to an unpaid test if that is your normal evaluation process. My portfolio is here: [portfolio]. If my work looks relevant, please send me a task or tell me what you would want to test first.

Thanks for taking a look,
[name]"
"23","A+","ailleurs.studio","Europe","France","Paris","Small studio (2–10)","Photoreal architectural imagery, motion films and photography","you explicitly describe collaborating with CGI artists, filmmakers, motion designers, photographers and AI researchers and invite like-minded people to get in touch","https://ailleurs.studio/","info@ailleurs.studio","","High","https://fr.linkedin.com/company/ailleurs-studio","Architectural visualization collaboration with ailleurs.studio","Hi ailleurs.studio team,

I’m [name], and I’m looking to contribute to strong architectural visualization teams on a project or trial basis. ailleurs.studio stood out to me because you explicitly describe collaborating with CGI artists, filmmakers, motion designers, photographers and AI researchers and invite like-minded people to get in touch.

I’d be glad to help with a clearly defined part of your photoreal architectural imagery, motion films and photography pipeline—modeling, scene setup, materials, lighting, camera work, rendering or revisions—depending on what is most useful to you.

I’d be happy to begin with one small trial or overflow assignment so you can assess my speed, scene organization, responsiveness to feedback and final visual quality before considering anything larger. You can see my work at [portfolio]. If there is a suitable task, I’d be grateful for the chance to try it.

Thanks — I’d be glad to hear what would be most useful to test.
[name]"
"24","A+","360360","Europe","Switzerland","Zurich","Small studio (1–10)","Architectural visualization for competitions and presentations","your jobs information asks candidates to send a CV and portfolio, so a compact production test would fit your existing evaluation process","https://www.360360.ch/","office@360360.ch","","High","https://www.360360.ch/infos","3ds Max / archviz production support for 360360","Hi 360360 team,

I’m [name], a 3D visualization artist working with architectural exteriors, interiors and 3ds Max-based scenes. Rather than sending a generic application, I’m writing because your jobs information asks candidates to send a CV and portfolio, so a compact production test would fit your existing evaluation process.

I’m not asking you to commit to a full role. I’d prefer to prove fit through a small real production task related to architectural visualization for competitions and presentations, with clear inputs, deadline and review criteria.

If it is useful, I’d be happy to complete a small, clearly scoped test assignment; I’m also open to an unpaid test if that is your normal evaluation process. My portfolio is here: [portfolio]. If my work looks relevant, please send me a task or tell me what you would want to test first.

Thank you for your time,
[name]"
"25","A+","BE EXTRAORDINARY","Europe","Germany","Munich","Visualization/creative studio","High-end 3D visualization and CGI","your careers page includes a Senior 3D Artist track, indicating an established process for evaluating visualization talent","https://b-extraordinary.de/","jobs@b-extraordinary.de","","High","https://b-extraordinary.de/","3D visualization support for BE EXTRAORDINARY","Hi BE EXTRAORDINARY team,

My name is [name], and I’m building relationships with studios and independent artists whose work I could support when deadlines or project volume increase. I chose to write to BE EXTRAORDINARY because your careers page includes a Senior 3D Artist track, indicating an established process for evaluating visualization talent.

I can start with a narrow assignment—such as preparing an exterior/interior scene, matching a reference, refining materials/lighting, or taking a render through revisions—so you can judge quality and reliability directly.

If it is useful, I’d be happy to complete a small, clearly scoped test assignment; I’m also open to an unpaid test if that is your normal evaluation process. My portfolio is here: [portfolio]. If my work looks relevant, please send me a task or tell me what you would want to test first.

Best,
[name]"
"26","A","3MD Studio","Asia","UAE","Dubai","Small studio (1–10)","Architectural/interior design, 3D renders, animations and 360 VR","you describe the studio as co-producing imagery and animation with architects, developers and marketing agencies, and you explicitly invite collaboration","https://www.3mdstudio.net/","info@3mdstudio.net","@3mdstudio","High","https://www.3mdstudio.net/","Portfolio + a small trial task for 3MD Studio","Hi 3MD Studio team,

I’m [name], a 3D artist focused on architectural visualization, especially exterior/interior imagery and 3ds Max-based workflows. I’m reaching out because you describe the studio as co-producing imagery and animation with architects, developers and marketing agencies, and you explicitly invite collaboration.

If you ever need extra capacity, I can take on a self-contained part of a architectural/interior design, 3d renders, animations and 360 vr project and work to your references, naming conventions and feedback process.

I’d be happy to begin with one small trial or overflow assignment so you can assess my speed, scene organization, responsiveness to feedback and final visual quality before considering anything larger. You can see my work at [portfolio]. If there is a suitable task, I’d be grateful for the chance to try it.

Best regards,
[name]"
"27","A","i8 Studio","Asia","Vietnam","Da Nang","Visualization studio (20–50)","3DCG, animation, VR, BIM and architectural outsourcing","your site positions i8 as a high-quality CG outsourcing partner and trusted CG partner for Japanese architecture companies","https://i8studio.vn/en","info@i8studio.vn","","High","https://i8studio.vn/en/solution","Freelance archviz support — i8 Studio","Hi i8 Studio team,

My name is [name]. I work in architectural visualization with a focus on exterior and interior scenes and 3ds Max production. I wanted to contact you specifically because your site positions i8 as a high-quality CG outsourcing partner and trusted CG partner for Japanese architecture companies.

My goal is to become the kind of external artist you can delegate a specific scene or image to when your internal team is busy, while keeping your creative direction and workflow intact.

I’d be happy to begin with one small trial or overflow assignment so you can assess my speed, scene organization, responsiveness to feedback and final visual quality before considering anything larger. You can see my work at [portfolio]. If there is a suitable task, I’d be grateful for the chance to try it.

Thanks for taking a look,
[name]"
"28","A","LHB Design","Asia","Vietnam","Da Nang","Small studio (1–10)","Exterior/interior visualization, animation and VR","your recent visualization work uses a 3ds Max/Corona/Photoshop pipeline and your small-team structure makes overflow support a realistic fit","https://lhbdesign.studio/","contact@lhbdesign.studio","","Medium-High","https://www.archvizbase.com/","Could I help with overflow 3D work at LHB Design?","Hi LHB Design team,

I’m [name], and I’m looking to contribute to strong architectural visualization teams on a project or trial basis. LHB Design stood out to me because your recent visualization work uses a 3ds Max/Corona/Photoshop pipeline and your small-team structure makes overflow support a realistic fit.

I’d be glad to help with a clearly defined part of your exterior/interior visualization, animation and vr pipeline—modeling, scene setup, materials, lighting, camera work, rendering or revisions—depending on what is most useful to you.

I’d be happy to complete a small trial task first so there is no need to make a hiring decision upfront. My portfolio is [portfolio]. If you have a scene, image or production task that could be delegated, I’d be glad to take it on and work to your feedback.

Thanks — I’d be glad to hear what would be most useful to test.
[name]"
"29","A","Koma Visualization","Asia","Indonesia","BSD City","Independent visualization studio","Stills, VR, interactive web, animation and cinemagraphs","you operate as an independent visualization practice across stills, VR and animation, where project peaks can benefit from flexible production support","https://www.komavisualization.com/","info@komavisualization.com","@komavisualization","High","https://www.komavisualization.com/","Architectural visualization collaboration with Koma Visualization","Hi Koma Visualization team,

I’m [name], a 3D visualization artist working with architectural exteriors, interiors and 3ds Max-based scenes. Rather than sending a generic application, I’m writing because you operate as an independent visualization practice across stills, VR and animation, where project peaks can benefit from flexible production support.

I’m not asking you to commit to a full role. I’d prefer to prove fit through a small real production task related to stills, vr, interactive web, animation and cinemagraphs, with clear inputs, deadline and review criteria.

I’d be happy to complete a small trial task first so there is no need to make a hiring decision upfront. My portfolio is [portfolio]. If you have a scene, image or production task that could be delegated, I’d be glad to take it on and work to your feedback.

Thank you for your time,
[name]"
"30","A","MA / createdby.ma","Asia","Vietnam","Ho Chi Minh City","Small studio (1–10)","Narrative architectural visualization for hotels, resorts and large developments","MA has recently recruited junior and mid-level visualisers for exterior CGI with 3ds Max, Corona Renderer and Photoshop, and describes itself as a small close team","https://createdby.ma/","createdbyma@hotmail.com","","Medium","https://www.glartent.com/VN/Ho-Chi-Minh-City/742368212639380/MA","3ds Max / archviz production support for MA / createdby.ma","Hi MA team,

My name is [name], and I’m building relationships with studios and independent artists whose work I could support when deadlines or project volume increase. I chose to write to MA / createdby.ma because MA has recently recruited junior and mid-level visualisers for exterior CGI with 3ds Max, Corona Renderer and Photoshop, and describes itself as a small close team.

I can start with a narrow assignment—such as preparing an exterior/interior scene, matching a reference, refining materials/lighting, or taking a render through revisions—so you can judge quality and reliability directly.

If it is useful, I’d be happy to complete a small, clearly scoped test assignment; I’m also open to an unpaid test if that is your normal evaluation process. My portfolio is here: [portfolio]. If my work looks relevant, please send me a task or tell me what you would want to test first.

Best,
[name]"
